Date,Action,Ticker,Price,Shares,Total_Value,Cash_Left
2026-06-13 15:55,DEPOSIT,NONE,0.0,0,100000.0,100000.0
2026-06-15 02:01,BUY,2002.TW,19.100000381469727,1047,19997.700399398804,80002.2996006012
2026-07-08 04:01,BUY,2603.TW,195.0,82,15990.0,64012.2996006012
2026-07-13 03:31,SELL,2002.TW,18.39999961853028,1047,19264.7996006012,83277.09920120239
2026-07-16 03:01,BUY,2317.TW,243.5,68,16558.0,66719.09920120239
2026-07-17 02:01,BUY,2002.TW,18.850000381469727,707,13326.950269699097,53392.148931503296
2026-07-22 01:31,BUY,2308.TW,1920.0,4,7680.0,45712.148931503296
